manufacturer,model,year,mileage,engine,price,accidents_or_damage
Nissan,Murano SV Intelligent AWD,2020,55003.0,"3.5L V-6 DOHC, variable valve control, engine with 260HP",27985.0,0.0
Lexus,IS 250 250,2015,175831.0,2.5L V6 24V PDI DOHC,14997.0,1.0
Nissan,Murano LE,2013,75604.0,3.5L V6 24V MPFI DOHC,16995.0,0.0
Volkswagen,Passat 1.8T Auto SE w/Sunroof & Nav,2015,106435.0,"1.8L I-4 gasoline direct injection, DOHC, variable valve control",11995.0,1.0
Acura,TLX FWD,2019,81954.0,2.4L I4 16V GDI DOHC,24288.0,0.0
Honda,Civic EX,2020,13828.0,1.5L I4 16V GDI DOHC Turbo,24400.0,0.0
BMW,X3 xDrive30i,2018,19353.0,2.0L I4 16V GDI DOHC Turbo,33100.0,0.0
BMW,X7 xDrive40i,2020,36496.0,Intercooled Turbo Premium Unleaded I-6 3.0 L/183,59999.0,0.0
Mazda,Mazda5 Grand Touring,2012,134662.0,2.5L I4 16V MPFI DOHC,8995.0,1.0
Nissan,Frontier PRO-X,2022,9289.0,3.8L V6 24V GDI DOHC,37668.0,0.0
Chevrolet,Bolt EV LT,2019,35744.0,Electric,24183.0,0.0
Kia,Stinger GT-Line,2023,3177.0,2.5L I4 16V GDI DOHC Turbo,38877.0,0.0
Ford,Escape SEL,2020,88798.0,"EcoBoost 1.5L I-3 port/direct injection, DOHC, Ti-VCT variable v",19995.0,0.0
Jeep,Grand Cherokee Overland,2021,40339.0,3.6L V6 24V MPFI DOHC,40715.0,0.0
Honda,CR-V Hybrid Touring,2021,44443.0,2.0L I4 16V MPFI DOHC Hybrid,35491.0,0.0
GMC,Savana 2500 Work Van,2021,0.0,"4.3L V-6 gasoline direct injection, variable valve control, engi",40992.0,0.0
Kia,Sorento,2019,56516.0,2.4L I4 16V GDI DOHC,18988.0,1.0
Hyundai,Kona Ultimate,2020,18125.0,1.6L I4 16V GDI DOHC Turbo,28995.0,0.0
Toyota,Avalon XLE,2022,22674.0,3.5L V6 24V PDI DOHC,35688.0,0.0
